Recipient,1,2,3,4,5,6,7,8,9,10,Average
client19,912687000,912204000,912223000,912216000,912207000,912205000,912197000,912218000,912240000,912224000,912262100
client20,800560000,778838000,778762000,778523000,778343000,778240000,777984000,777909000,777694000,777645000,780449800
client18,771717000,771092000,771106000,771101000,771092000,771081000,771070000,771061000,771068000,771061000,771144900
client11,759992000,759327000,759302000,759301000,759283000,759297000,759286000,759278000,759275000,759271000,759361200
client17,779290000,778747000,778761000,778757000,778753000,778748000,778740000,778742000,778735000,778731000,778800400
client15,766481000,766015000,766045000,766034000,766020000,766006000,765991000,765976000,765961000,765933000,766046200
client12,763904000,763414000,763426000,763428000,763416000,763404000,763392000,763380000,763382000,763374000,763452000
client14,707856000,707336000,707344000,707298000,707287000,707269000,707256000,707253000,707269000,707266000,707343400
client13,701660000,701059000,701039000,701025000,701013000,701001000,700990000,700978000,700958000,700949000,701067200
client16,720249000,719735000,719704000,719695000,719682000,719671000,719659000,719647000,719642000,719636000,719732000
