Sender,Time
client100,0.535716
client26,0.568106
client21,0.579293
client21,0.596073
client26,0.603128
client21,0.607901
client26,0.612867
client21,0.617681
client26,0.622958
client21,0.64379
client26,0.645451
client21,0.647265
client21,0.648847
client26,0.650463
client21,0.652037
client26,0.656585
client21,0.661734
client26,0.665184
client21,0.66966
client26,0.677533
client26,0.679181
client77,0.680439
client77,0.687233
client1,0.692488
client45,0.70169
client45,0.715114
client45,0.717614
client22,0.720247
client22,0.723675
client22,0.728456
client22,0.732169
client22,0.751612
client22,0.755189
client22,0.762156
client22,0.76488
client22,0.76757
client22,0.769907
client45,0.772624
client45,0.779388
client45,0.787668
client45,0.79362
client45,0.799278
client45,0.804476
client45,0.808158
client77,0.810545
client77,0.815371
client77,0.829655
client77,0.880449
client77,1.050864
client1,1.6787830000000001
client41,1.6912859999999998
client77,1.693727
client77,1.6961330000000001
client77,1.6984430000000001
client1,1.700879
client1,1.703271
client41,1.705612
client1,1.707984
client1,1.721519
client1,1.723366
client1,1.725209
client41,1.726977
client1,1.728931
client68,1.740335
client1,1.7421440000000001
client41,1.743943
client41,1.7456
client41,1.747512
client41,1.749347
client41,1.751566
client68,1.7535500000000002
client41,1.755492
client41,1.757327
client68,1.759299
client68,1.7613159999999999
client68,1.763449
client93,1.765345
client68,1.76766
client68,1.7702529999999999
client68,1.7723339999999999
client68,1.774861
client68,1.777034
client93,1.779455
client93,1.781782
client93,1.784869
client80,1.787232
client80,1.78905
client93,1.801122
client93,1.803064
client93,1.804781
client93,1.806657
client80,1.808439
client80,1.829565
client93,1.8315510000000002
client80,1.833628
client93,1.8359459999999999
client80,1.8377050000000001
client80,1.850778
client55,1.852603
client80,1.854562
client80,1.856338
client80,1.8582269999999999
client55,1.859978
client55,1.861837
client55,1.864079
client55,1.866161
client55,1.868371
client55,1.879373
client55,1.8814220000000001
client55,1.8832360000000001
client55,1.885091
client43,1.8871989999999998
client43,1.903159
client43,1.910112
client43,1.9121190000000001
client43,1.9139650000000001
client43,1.915763
client43,1.9176069999999998
client43,1.919587
client43,1.921382
client43,1.923409
client74,1.9250699999999998
client96,1.927133
client74,1.93107
client74,1.9330159999999998
client96,1.935623
client74,1.938746
client74,1.941562
client96,1.943988
client74,1.946731
client74,1.950196
client59,1.95275
client74,1.955184
client96,1.9570210000000001
client74,1.960133
client74,1.962821
client96,1.967518
client59,1.973477
client96,1.981388
client96,1.98729
client96,1.9933269999999998
client59,1.999612
client96,2.005757
client59,2.011193
client96,2.016487
client59,2.022211
client59,2.028324
client59,2.036317
client59,2.04229
client59,2.048844
client59,2.053458
client60,2.059578
client60,2.06748
client60,2.075402
client60,2.081403
client60,2.087197
client60,2.099209
client60,2.101987
client60,2.104705
client71,2.109352
client60,2.115552
client60,2.12357
client48,2.128148
client71,2.133773
client48,2.14112
client71,2.146773
client48,2.151878
client71,2.158199
client54,2.16394
client48,2.171655
client71,2.174929
client71,2.180992
client48,2.186955
client71,2.191933
client48,2.197773
client71,2.202947
client48,2.209077
client71,2.21494
client48,2.219826
client54,2.227813
client71,2.23316
client48,2.238777
client48,2.244747
client54,2.251874
client54,2.257254
client54,2.265022
client54,2.2731339999999998
client54,2.278822
client54,2.283796
client54,2.289034
client54,2.294608
client47,2.300643
client44,2.305986
client47,2.314888
client44,2.322555
client91,2.327678
client47,2.332812
client44,2.338831
client47,2.344964
client44,2.351726
client47,2.367526
client47,2.370056
client44,2.3727460000000002
client47,2.375325
client91,2.380461
client44,2.386449
client47,2.3990460000000002
client47,2.401634
client44,2.404284
client47,2.407936
client44,2.412477
client23,2.4181179999999998
client91,2.429481
client44,2.43441
client91,2.439536
client44,2.4443770000000002
client91,2.448086
client91,2.452512
client88,2.458676
client23,2.46734
client91,2.471514
client91,2.476352
client91,2.4793979999999998
client23,2.482963
client91,2.488609
client23,2.49432
client88,2.503359
client23,2.5084109999999997
client23,2.511276
client23,2.516526
client88,2.51964
client23,2.525695
client88,2.5302480000000003
client23,2.535219
client88,2.539235
client23,2.543839
client88,2.548266
client88,2.553306
client88,2.562252
client88,2.56716
client88,2.570153
client31,2.5751020000000002
client62,2.580057
client31,2.588188
client62,2.593352
client31,2.607711
client62,2.610116
client31,2.612415
client62,2.6147359999999997
client31,2.6171860000000002
client62,2.62097
client31,2.624943
client62,2.647798
client31,2.650383
client31,2.653291
client62,2.65557
client31,2.657939
client62,2.66004
client81,2.6618880000000003
client31,2.663622
client82,2.665267
client62,2.669164
client62,2.687926
client49,2.690221
client81,2.692513
client82,2.695762
client49,2.702046
client81,2.7073650000000002
client81,2.711852
client82,2.727182
client81,2.729415
client81,2.731663
client82,2.7338649999999998
client49,2.736229
client81,2.738521
client82,2.741643
client81,2.747641
client49,2.752633
client82,2.767456
client81,2.769809
client49,2.7719810000000003
client82,2.7744400000000002
client81,2.776939
client49,2.781518
client82,2.786727
client49,2.795552
client82,2.816061
client49,2.818721
client82,2.821201
client49,2.8235
client49,2.826239
client85,2.8304869999999998
client34,2.84045
client34,2.847411
client85,2.853644
client34,2.859555
client85,2.865586
client34,2.871467
client85,2.87818
client34,2.884271
client85,2.889409
client34,2.8942550000000002
client85,2.9075290000000003
client34,2.910494
client85,2.912913
client34,2.927281
client85,2.929896
client34,2.932388
client85,2.9346740000000002
client34,2.93806
client85,2.942132
client84,2.947458
client92,2.955418
client84,2.97943
client92,2.981908
client84,2.984332
client76,2.997577
client84,2.999972
client92,3.002349
client84,3.00501
client84,3.007418
client92,3.011028
client76,3.017121
client84,3.022144
client92,3.036174
client84,3.038637
client92,3.040957
client84,3.045846
client76,3.050853
client92,3.056188
client84,3.064223
client76,3.06985
client92,3.078305
client76,3.088778
client92,3.096041
client76,3.101828
client92,3.107366
client76,3.113782
client76,3.119901
client76,3.129709
client76,3.134696
client36,3.140662
client36,3.147007
client36,3.154888
client36,3.160937
client36,3.178151
client36,3.180521
client36,3.18297
client36,3.185347
client36,3.1976269999999998
client36,3.199717
client42,3.204213
client42,3.209473
client42,3.219161
client39,3.225271
client42,3.230099
client42,3.235229
client61,3.241243
client42,3.247107
client42,3.2523
client39,3.257468
client42,3.26345
client42,3.269156
client61,3.275093
client39,3.281238
client42,3.286299
client39,3.2940490000000002
client61,3.299408
client39,3.308378
client39,3.314207
client61,3.320186
client38,3.325367
client39,3.331187
client61,3.337155
client39,3.342157
client39,3.34719
client61,3.3523009999999998
client39,3.360962
client61,3.36503
client38,3.370534
client46,3.377693
client61,3.385318
client61,3.391134
client61,3.394895
client38,3.400518
client46,3.406507
client38,3.414559
client46,3.423073
client38,3.428134
client38,3.433215
client46,3.446763
client38,3.449192
client46,3.452004
client38,3.457
client46,3.462169
client38,3.46822
client69,3.473866
client46,3.479839
client38,3.48599
client46,3.490992
client46,3.496165
client46,3.593476
client69,3.595913
client69,3.598631
client69,3.601235
client69,3.603931
client69,3.606502
client95,3.609037
client69,3.611484
client69,3.614404
client69,3.616561
client69,3.618453
client95,3.620606
client95,3.622902
client95,3.625627
client95,3.628031
client95,3.630322
client32,3.632784
client63,3.635104
client95,3.637371
client95,3.63971
client95,3.642109
client95,3.645227
client32,3.656691
client97,3.659873
client63,3.6623520000000003
client32,3.664185
client63,3.666344
client32,3.668271
client97,3.6733510000000003
client50,3.678828
client63,3.686573
client32,3.689388
client83,3.694154
client63,3.700256
client32,3.703885
client63,3.716055
client32,3.7183669999999998
client63,3.7204129999999997
client32,3.724291
client97,3.728291
client63,3.733292
client32,3.738298
client97,3.741127
client63,3.745233
client50,3.751436
client32,3.754355
client83,3.75962
client97,3.765686
client63,3.77114
client97,3.776427
client97,3.783265
client50,3.788247
client97,3.7933120000000002
client83,3.796059
client97,3.80059
client50,3.8072850000000003
client83,3.812386
client97,3.817402
client50,3.821059
client83,3.8353669999999997
client83,3.837611
client50,3.839718
client83,3.84417
client50,3.849351
client83,3.8582419999999997
client50,3.861174
client83,3.870441
client50,3.876314
client83,3.8786300000000002
client57,3.880902
client50,3.8845460000000003
client57,3.88927
client66,3.89909
client57,3.915231
client57,3.917386
client72,3.91939
client57,3.921424
client99,3.923466
client66,3.927121
client57,3.932135
client57,3.939315
client57,3.942095
client57,3.956066
client66,3.958252
client72,3.96022
client57,3.96239
client99,3.96777
client66,3.970772
client66,3.976927
client72,3.982598
client66,4.006117
client99,4.008318
client72,4.01037
client66,4.012488
client99,4.014666
client72,4.01645
client66,4.018085
client99,4.019609
client72,4.021953
client66,4.02884
client99,4.039226
client72,4.04551
client66,4.048798
client99,4.051868
client58,4.057098
client72,4.066151
client99,4.088144
client72,4.09075
client99,4.092972
client99,4.104716
client72,4.106914
client58,4.109174
client58,4.111931
client58,4.115068
client58,4.129732
client58,4.135779
client58,4.138147
client58,4.140769
client58,4.14603
client58,4.15166
client90,4.157552
client90,4.176868
client90,4.180482
client90,4.182567
client90,4.184837
client90,4.189371
client90,4.194572
client90,4.199681
client90,4.214523
client90,4.216764
client67,4.218937
client67,4.223134
client67,4.228409
client67,4.237387
client67,4.242401
client67,4.263364
client67,4.267893
client67,4.270708
client67,4.273106
client67,4.276746
client100,4.278452
client100,4.282503
client100,4.28934
client100,4.295693
client100,4.301426
client100,4.306587
client100,4.31253
client100,4.3184000000000005
client100,4.326351
client87,4.331103
client87,4.336369
client87,4.344421
client87,4.350122
client87,4.356118
client87,4.362488
client87,4.368079
client87,4.373176
client87,4.379018
client87,4.384841
client11,4.389486
client102,4.395889
client102,4.403585
client105,4.411431
client11,4.416569
client102,4.422623
client103,4.4275459999999995
