Recipient,1,2,3,4,5,6,7,8,9,10,Average
client211,702667000,701754000,701881000,701952000,701963000,701965000,701959000,701981000,701998000,702010000,702013000
client269,676572000,675939000,676027000,676122000,676155000,676165000,676173000,676190000,676229000,676266000,676183800
client266,677538000,677168000,677130000,677088000,677033000,676979000,676927000,676880000,676833000,676788000,677036400
client228,693229000,692957000,693067000,693089000,693105000,693107000,693115000,693137000,693167000,693199000,693117200
client199,703608000,703306000,703272000,703264000,703236000,703206000,703180000,703153000,703124000,703100000,703244900
client198,703805000,703468000,703460000,703430000,703400000,703370000,703338000,703310000,703282000,703256000,703411900
client210,708252000,702409000,702379000,702372000,702347000,702318000,702288000,702230000,702189000,702166000,702895000
client283,746394000,745392000,745393000,745380000,745364000,745336000,745305000,745282000,745257000,745236000,745433900
client291,745903000,745607000,745572000,745560000,745533000,745499000,745470000,745441000,745414000,745372000,745537100
client185,746017000,745263000,745295000,745414000,745455000,745481000,745513000,745539000,745564000,745597000,745513800
client209,696345000,695911000,695901000,695871000,695843000,695814000,695786000,695759000,695734000,695710000,695867400
client215,492721000,492463000,492550000,492573000,492543000,492489000,492466000,492463000,492451000,492444000,492516300
client221,491998000,491700000,491785000,491881000,491883000,491897000,491930000,491959000,492005000,492060000,491909800
client212,480423000,480269000,480428000,480499000,480555000,480603000,480672000,480721000,480770000,480830000,480577000
client271,454185000,453355000,453376000,453326000,453275000,453206000,453154000,453101000,453048000,453010000,453303600
client208,697889000,697566000,697531000,697506000,697466000,697425000,697377000,697338000,697301000,697265000,697466400
client203,448348000,447875000,447858000,447820000,447791000,447756000,447722000,447690000,447660000,447628000,447814800
client202,424904000,424398000,424301000,424228000,424138000,424072000,424017000,423962000,423905000,423828000,424175300
client207,415671000,414952000,414887000,414801000,414710000,414617000,414530000,414428000,414273000,414173000,414704200
client197,424740000,424059000,423977000,423898000,423798000,423694000,423560000,423461000,423369000,423285000,423784100
client293,584285000,583902000,583951000,583998000,583996000,583970000,583960000,583910000,583866000,583813000,583965100
client286,582106000,581788000,581821000,581801000,581753000,581700000,581648000,581601000,581551000,581507000,581727600
client292,529457000,527749000,527527000,527304000,527096000,526884000,526648000,526455000,526227000,526026000,527137300
client282,507512000,505191000,504789000,504396000,504007000,503383000,501942000,501523000,499948000,499417000,503210800
client285,506907000,503905000,503574000,503124000,502687000,502357000,501988000,501639000,501225000,500778000,502818400
client263,289116000,286138000,285747000,285283000,284832000,284419000,284002000,283506000,283130000,282737000,284891000
client232,555267000,552516000,551963000,551343000,550690000,550107000,549672000,549221000,548766000,547819000,550736400
client275,278394000,275697000,275397000,274995000,274653000,274135000,273680000,273320000,272983000,272689000,274594300
client243,525663000,522160000,521949000,521675000,521422000,521169000,520934000,520668000,520391000,519473000,521550400
client256,274904000,272646000,272301000,271829000,265333000,263334000,263134000,262964000,262793000,262623000,267186100
client255,260334000,259092000,258953000,258810000,258632000,258463000,258328000,258198000,258064000,257968000,258684200
client273,252106000,251299000,251339000,251398000,251372000,251358000,251261000,251129000,251005000,250869000,251313600
client219,473661000,473528000,473607000,473751000,473847000,473909000,473975000,474033000,474084000,474145000,473854000
client267,430237000,429879000,429837000,429794000,429739000,429681000,429605000,429543000,429482000,429418000,429721500
client281,481183000,480375000,480288000,480157000,480046000,479924000,479822000,479734000,479643000,479557000,480072900
client234,265521000,264746000,264720000,264651000,264575000,264503000,264426000,264326000,264238000,264164000,264587000
client296,475007000,473656000,473550000,473445000,473324000,473189000,472992000,472875000,472766000,471234000,473203800
client289,697555000,696622000,696609000,696693000,696683000,696661000,696648000,696629000,696609000,696597000,696730600
client247,502862000,501435000,501375000,501378000,501353000,501309000,501263000,501219000,501167000,501137000,501449800
client278,232724000,232180000,232251000,232341000,232345000,232331000,232337000,232343000,232354000,232386000,232359200
client217,450797000,450309000,450241000,450190000,450130000,450067000,450003000,449943000,449883000,449826000,450138900
client200,283947000,282598000,282393000,282214000,281994000,281793000,281608000,281418000,281236000,281068000,282026900
client299,592809000,592573000,592634000,592649000,592662000,592664000,592663000,592662000,592658000,592661000,592663500
client276,425669000,425307000,425275000,425257000,425224000,425194000,425167000,425140000,425111000,425083000,425242700
client206,271001000,269077000,268801000,268484000,268209000,267926000,267634000,267370000,267025000,266713000,268224000
client170,497234000,495975000,495959000,495807000,495676000,495511000,495338000,495101000,494840000,494601000,495604200
client258,719634000,719500000,719545000,719678000,719724000,719740000,719762000,719772000,719780000,719801000,719693600
client177,748795000,747815000,747689000,747622000,747496000,747377000,747262000,747208000,747157000,747039000,747546000
client253,722806000,722628000,722739000,722786000,722803000,722828000,722931000,722968000,723032000,723068000,722858900
client229,719706000,719508000,719629000,719683000,719714000,719746000,719776000,719825000,719863000,719899000,719734900
client259,712245000,712064000,712193000,712256000,712291000,712330000,712392000,712429000,712476000,712523000,712319900
client173,521659000,520832000,520726000,520585000,520482000,520356000,520248000,520117000,520001000,519907000,520491300
client190,517965000,517261000,517172000,517057000,516949000,516838000,516726000,516616000,516508000,516428000,516952000
client191,736524000,735762000,735785000,735839000,735822000,735803000,735767000,735740000,735734000,735683000,735845900
client244,719982000,719879000,719938000,720115000,720173000,720232000,720290000,720343000,720395000,720457000,720180400
client214,497045000,496291000,496297000,496285000,496210000,496132000,496054000,495980000,495911000,495838000,496204300
client201,424478000,423751000,423659000,423561000,423457000,423349000,423252000,423161000,423077000,422995000,423474000
client240,719964000,719705000,719828000,719954000,719997000,720035000,720072000,720110000,720164000,720214000,720004300
client205,413462000,412893000,412837000,412789000,412733000,412687000,412636000,412585000,412535000,412478000,412763500
client231,493495000,493258000,493259000,493327000,493350000,493370000,493392000,493413000,493428000,493449000,493374100
client297,603235000,602993000,603065000,603082000,603102000,603099000,603091000,603089000,603088000,603092000,603093600
client218,312633000,310890000,310547000,310302000,310101000,309825000,309631000,309475000,309284000,308942000,310163000
client213,448472000,448238000,448304000,448315000,448335000,448332000,448330000,448327000,448321000,448323000,448329700
client251,322734000,321007000,320686000,320374000,320026000,319761000,319548000,319345000,319080000,318887000,320144800
client238,359077000,356618000,356415000,356267000,356079000,355878000,355657000,355469000,355282000,355096000,356183800
client268,191524000,191286000,191338000,191491000,191553000,191608000,191668000,191720000,191770000,191828000,191578600
client194,266077000,264981000,264568000,264331000,264200000,264062000,263919000,262273000,262125000,262013000,263854900
client235,266428000,265870000,265857000,265908000,265899000,265879000,265847000,265820000,265797000,265793000,265909800
client284,222047000,221361000,221277000,221166000,221054000,220948000,220872000,220793000,220704000,220607000,221082900
client164,266271000,265851000,265903000,265918000,265920000,265921000,265938000,265978000,265976000,265978000,265965400
client239,167437000,165858000,165662000,165518000,165344000,165162000,164990000,164818000,164652000,164496000,165393700
client265,281314000,279654000,279667000,279645000,279511000,279361000,279241000,279134000,279000000,278823000,279535000
client183,371909000,370050000,369659000,369169000,368846000,368531000,368251000,368008000,367755000,367520000,368969800
client250,93422000,92200000,92101000,91859000,91624000,91398000,91251000,91137000,90993000,90849000,91683400
client242,357561000,356056000,355937000,355841000,355641000,355436000,355213000,355020000,354809000,354611000,355612500
client155,463820000,461891000,461618000,461396000,461169000,460965000,460781000,460600000,460419000,460199000,461285800
client187,233482000,232323000,232210000,232156000,232041000,231928000,231824000,231724000,231616000,231499000,232080300
client248,328216000,326225000,326066000,325782000,325535000,325251000,324800000,324458000,324220000,323942000,325449500
client270,301956000,300244000,300009000,299809000,299573000,299322000,299065000,298762000,298473000,298215000,299542800
client295,475609000,475128000,475104000,475149000,475105000,475083000,475082000,475076000,475069000,475057000,475146200
client224,282130000,281412000,281385000,280902000,280774000,280678000,280544000,280435000,280269000,280081000,280861000
client167,302446000,301285000,301040000,300823000,300681000,300521000,300369000,300208000,300100000,299964000,300743700
client249,607773000,606505000,606364000,606218000,606068000,605869000,605708000,605559000,605413000,605270000,606074700
client298,446283000,445525000,445567000,445537000,445474000,445399000,445351000,445282000,445187000,445104000,445470900
client179,444214000,442771000,442689000,442670000,442614000,442554000,442478000,442395000,442306000,442242000,442693300
client274,232225000,231354000,231285000,231212000,231085000,230968000,230842000,230711000,230590000,230490000,231076200
client188,254635000,253709000,253659000,253529000,253472000,253368000,253287000,253216000,253141000,253057000,253507300
client294,434825000,434211000,434247000,434193000,434100000,433997000,433900000,433812000,433718000,433635000,434063800
client168,270426000,269796000,269760000,269817000,269810000,269802000,269790000,269774000,269758000,269758000,269849100
client184,212539000,211681000,211758000,211761000,211747000,211701000,211683000,211653000,211621000,211574000,211771800
client204,822694000,821905000,821816000,821743000,821647000,821564000,821484000,821382000,821288000,821203000,821672600
client230,792957000,791780000,791702000,791620000,791511000,791368000,791241000,791128000,791010000,790902000,791521900
client181,176363000,175607000,175564000,175516000,175393000,175276000,175170000,175097000,175027000,174962000,175397500
client163,632004000,631378000,631430000,631425000,631380000,631340000,631285000,631234000,631163000,631118000,631375700
client166,343314000,343052000,343066000,343218000,343260000,343298000,343339000,343376000,343408000,343473000,343280400
client176,990715000,990063000,990103000,990068000,990039000,989991000,989906000,989857000,989813000,989765000,990032000
client174,485952000,485690000,485700000,485762000,485783000,485773000,485759000,485739000,485725000,485731000,485761400
client165,249586000,248717000,248663000,248686000,248611000,248566000,248554000,248520000,248490000,248430000,248682300
client260,337857000,336300000,336115000,336011000,335711000,335532000,335331000,335174000,335015000,334872000,335791800
client237,204588000,202955000,202876000,202684000,202497000,202302000,202114000,201945000,201727000,201602000,202529000
client154,432107000,431032000,430936000,430798000,430677000,430547000,430418000,430282000,430158000,428822000,430577700
client172,300264000,299344000,299279000,299201000,299097000,298969000,298858000,298745000,298655000,298523000,299093500
client245,187539000,185880000,185787000,185595000,185418000,185241000,185000000,184796000,184645000,184468000,185436900
client192,575876000,574003000,573647000,573271000,572911000,572545000,572195000,571857000,571489000,571165000,572895900
client157,791780000,790864000,790860000,790766000,790680000,790581000,790482000,790385000,790289000,790192000,790687900
client196,549191000,547563000,547402000,547171000,546971000,546754000,546540000,546330000,546123000,545931000,546997600
client279,568712000,566756000,566629000,566353000,566090000,565818000,565467000,565088000,564729000,564406000,566004800
client241,550227000,548448000,548286000,548119000,547833000,547480000,547144000,546906000,546712000,546439000,547759400
client300,734028000,732284000,732169000,731915000,731636000,731383000,731159000,730883000,730609000,730347000,731641300
client277,238383000,236801000,236702000,236515000,236323000,236133000,235957000,235781000,235611000,235431000,236363700
client290,729695000,727923000,727699000,727504000,727297000,727083000,726852000,726592000,726383000,726182000,727321000
client161,752124000,749912000,749735000,749657000,749396000,749043000,748720000,748470000,748150000,747887000,749309400
client152,737729000,735874000,735794000,735629000,735357000,735134000,734916000,734685000,734539000,734362000,735401900
client189,724503000,721587000,721332000,721028000,720691000,720404000,720214000,720039000,719837000,719649000,720928400
client156,706189000,705451000,705424000,705483000,705480000,705439000,705395000,705353000,705315000,705287000,705481600
client261,888542000,886914000,886736000,886652000,886537000,886387000,886248000,886077000,885837000,885704000,886563400
client254,636381000,634626000,634491000,634293000,634117000,633960000,633798000,633647000,633503000,633377000,634219300
client236,378848000,377102000,376801000,376466000,376148000,375854000,375523000,375238000,374940000,374650000,376157000
client195,885353000,883385000,883147000,882923000,882681000,882441000,882218000,881997000,881746000,881525000,882741600
client182,752780000,751031000,750832000,750569000,750318000,750093000,749869000,749625000,749382000,749134000,750363300
client272,777914000,776282000,776122000,776012000,775857000,775699000,775575000,775432000,775288000,775112000,775929300
client193,626961000,624801000,624595000,624383000,624055000,623700000,623356000,623033000,622813000,622578000,624027500
client178,287544000,286252000,286088000,285819000,285597000,285356000,285118000,284972000,284814000,284694000,285625400
client171,569522000,568314000,568257000,568102000,567965000,567797000,567666000,567553000,567431000,567299000,567990600
client288,746105000,744392000,744213000,744037000,743789000,743515000,743257000,742986000,742707000,742459000,743746000
client252,288041000,286230000,286055000,285778000,285529000,285276000,285065000,284867000,284650000,284390000,285588100
client216,879477000,877555000,877429000,877108000,876768000,876431000,876193000,876050000,875874000,875698000,876858300
client162,706358000,705790000,705854000,705849000,705844000,705822000,705861000,705848000,705831000,705858000,705891500
client287,256367000,254638000,254469000,254206000,253938000,253689000,253482000,253266000,253035000,252703000,253979300
client280,683338000,681686000,681636000,681481000,681323000,681140000,680955000,680805000,680641000,680505000,681351000
client262,156879000,155026000,154776000,154536000,154272000,154033000,153784000,153560000,153344000,153107000,154331700
client158,564259000,562735000,562659000,562495000,562336000,562127000,561955000,561888000,561760000,561636000,562385000
client186,915373000,913564000,913332000,913076000,912784000,912403000,912004000,911690000,911423000,911182000,912683100
client160,543519000,542364000,542297000,542161000,542020000,541863000,541719000,541589000,541408000,541279000,542021900
client264,928284000,926571000,926447000,926177000,925932000,925681000,925438000,925226000,924974000,924737000,925946700
client257,928592000,926887000,926625000,926278000,925978000,925679000,925346000,925021000,924729000,924515000,925965000
client222,921418000,918711000,918309000,917799000,917387000,917057000,916741000,916410000,916084000,915661000,917557700
client223,920743000,918046000,917640000,917205000,916871000,916604000,916300000,915993000,915696000,915366000,917046400
client180,923188000,921560000,921420000,921112000,920821000,920610000,920433000,920284000,920058000,919837000,920932300
client225,914489000,912278000,911948000,911668000,911284000,910873000,910523000,910184000,909868000,909565000,911268000
client175,912875000,905128000,904829000,904523000,904231000,904012000,903805000,903621000,903422000,902615000,904906100
client226,907262000,904820000,904691000,904490000,904290000,904094000,903861000,903671000,903508000,903370000,904405700
client220,912420000,909688000,909178000,899184000,898975000,898784000,898574000,898413000,898253000,898106000,902157500
client227,900734000,898268000,897969000,897594000,897298000,896935000,896576000,896221000,895879000,895543000,897301700
client246,919227000,917570000,917463000,917303000,917139000,917002000,916878000,916747000,916625000,916493000,917244700
client151,936271000,935876000,935963000,935899000,935909000,935912000,935917000,935927000,935950000,935974000,935959800
client153,961170000,960611000,960623000,960608000,960604000,960547000,960503000,960473000,960441000,960382000,960596200
client169,917246000,916934000,916978000,916981000,916973000,916966000,916957000,916948000,916961000,916965000,916990900
client159,493262000,492909000,492902000,492940000,492939000,492934000,492931000,492906000,492872000,492830000,492942500
client233,547470000,546970000,546984000,546969000,546973000,546919000,546858000,546857000,546854000,546858000,546971200
